Date,blended_portfolio,norm_close
2022-08-10,0.0,0.0
2022-08-11,0.2836757897324024,0.2836757897324024
2022-08-12,1.7013460253254522,1.7013460253254522
2022-08-15,1.7505647501946748,1.7505647501946748
2022-08-16,1.9839035905566151,1.9839035905566151
2022-08-17,0.9313627697750978,0.9313627697750978
2022-08-18,1.1681610448810171,1.1681610448810171
2022-08-19,-0.35019035592132064,-0.35019035592132064
2022-08-22,-2.3261583565160655,-2.3261583565160655
2022-08-23,-2.511548887900608,-2.511548887900608
2022-08-24,-2.208508536951999,-2.208508536951999
2022-08-25,-0.6831149420803586,-0.6831149420803586
2022-08-26,-3.4625586518125164,-3.4625586518125164
2022-08-29,-4.094313074897231,-4.094313074897231
2022-08-30,-5.252933346061038,-5.252933346061038
2022-08-31,-5.90529585294752,-5.90529585294752
2022-09-01,-6.705096805574293,-6.705096805574293
2022-09-02,-7.471189904699713,-7.471189904699713
2022-09-06,-7.931244919458839,-7.931244919458839
2022-09-07,-6.427181372497446,-6.427181372497446
2022-09-08,-6.0483375932979175,-6.0483375932979175
2022-09-09,-4.294060226026508,-4.294060226026508
2022-09-12,-3.1867828887818104,-3.1867828887818104
2022-09-13,-6.7397172625477975,-6.7397172625477975
2022-09-14,-6.770549327382921,-6.770549327382921
2022-09-15,-7.666099925930961,-7.666099925930961
2022-09-16,-8.364006089093271,-8.364006089093271
2022-09-19,-7.706382221952888,-7.706382221952888
2022-09-20,-9.169572347851835,-9.169572347851835
2022-09-21,-10.378803995605539,-10.378803995605539
2022-09-22,-11.644765940249886,-11.644765940249886
2022-09-23,-13.640485504986415,-13.640485504986415
2022-09-26,-15.088359346732567,-15.088359346732567
2022-09-27,-15.385523924351707,-15.385523924351707
2022-09-28,-13.335599377655555,-13.335599377655555
2022-09-29,-14.98723020924469,-14.98723020924469
2022-09-30,-15.288751244048742,-15.288751244048742
2022-10-03,-13.316891584268832,-13.316891584268832
2022-10-04,-10.244673366587028,-10.244673366587028
2022-10-05,-11.006259854358557,-11.006259854358557
2022-10-06,-12.122432025744814,-12.122432025744814
2022-10-07,-14.074595177426007,-14.074595177426007
2022-10-10,-14.432631256530371,-14.432631256530371
2022-10-11,-14.54180473002077,-14.54180473002077
2022-10-12,-15.008141701088865,-15.008141701088865
2022-10-13,-13.207209016670546,-13.207209016670546
2022-10-14,-15.02867103745988,-15.02867103745988
2022-10-17,-12.677912679356314,-12.677912679356314
2022-10-18,-11.741904520523452,-11.741904520523452
2022-10-19,-13.161910331851642,-13.161910331851642
2022-10-20,-13.941305993563573,-13.941305993563573
2022-10-21,-12.327041177230768,-12.327041177230768
2022-10-24,-12.068636904814156,-12.068636904814156
2022-10-25,-9.902565135339039,-9.902565135339039
2022-10-26,-9.50562438345441,-9.50562438345441
2022-10-27,-9.651670820064956,-9.651670820064956
2022-10-28,-8.185439878053923,-8.185439878053923
2022-10-31,-8.465945091748369,-8.465945091748369
2022-11-01,-8.053403934562368,-8.053403934562368
2022-11-02,-10.374079442000887,-10.374079442000887
2022-11-03,-10.786906771313909,-10.786906771313909
2022-11-04,-8.752316396115047,-8.752316396115047
2022-11-07,-8.216118279762863,-8.216118279762863
2022-11-08,-7.7743971785013475,-7.7743971785013475
2022-11-09,-9.423922357909314,-9.423922357909314
2022-11-10,-4.132135723211848,-4.132135723211848
2022-11-11,-3.2209666029832875,-3.2209666029832875
2022-11-14,-4.348914929237224,-4.348914929237224
2022-11-15,-3.2225570270094135,-3.2225570270094135
2022-11-16,-4.2383410315212355,-4.2383410315212355
2022-11-17,-4.596194004616453,-4.596194004616453
2022-11-18,-4.069395811607894,-4.069395811607894
2022-11-21,-4.384418964369459,-4.384418964369459
2022-11-22,-3.2010035952696674,-3.2010035952696674
2022-11-23,-2.796854012110161,-2.796854012110161
2022-11-25,-2.4364985200493092,-2.4364985200493092
2022-11-28,-4.15128032266306,-4.15128032266306
2022-11-29,-3.6348263560962963,-3.6348263560962963
2022-11-30,-1.4992304073555682,-1.4992304073555682
2022-12-01,-1.3331593423759065,-1.3331593423759065
2022-12-02,-1.2477066353599766,-1.2477066353599766
2022-12-05,-3.279107624767721,-3.279107624767721
2022-12-06,-4.097748963500025,-4.097748963500025
2022-12-07,-4.231641049491544,-4.231641049491544
2022-12-08,-3.6345225537716823,-3.6345225537716823
2022-12-09,-4.2288278434040665,-4.2288278434040665
2022-12-12,-3.504242047971599,-3.504242047971599
2022-12-13,-2.5900433452640783,-2.5900433452640783
2022-12-14,-3.022172930674597,-3.022172930674597
2022-12-15,-5.187248406153998,-5.187248406153998
2022-12-16,-6.265716544968434,-6.265716544968434
2022-12-19,-6.947096210311216,-6.947096210311216
2022-12-20,-6.682896741392923,-6.682896741392923
2022-12-21,-5.418923944887691,-5.418923944887691
2022-12-22,-6.331792375103738,-6.331792375103738
2022-12-23,-5.79979501860666,-5.79979501860666
